# Json-Performance: Jsonifier vs Glaze vs simdjson Stage Results
#CPU: Apple M1 (Virtual)-NEON
#OS: macOS-25.6.0
#Compiler: Clang-23.1.0

# Json-Performance: Jsonifier vs Glaze vs simdjson Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold (%),MaxTimeInS,RseThreshold (%),MaxK,MinK
true,100,100000,5,20,10,100000,30

Library,Wins,Ties,Losses
jsonifier,5,2,2
simdjson (ondemand),1,3,5
glaze,1,1,7
