# Json-Performance: Stage-1 Parsing Stage Results
#CPU: Apple M1 (Virtual)-NEON
#OS: macOS-25.6.0
#Compiler: GCC-16.2.0

# Json-Performance: Stage-1 Parsing Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold (%),MaxTimeInS,RseThreshold (%),MaxK,MinK
true,100,100000,10,20,10,100000,30

Library,Wins,Ties,Losses
jsonifier,16,5,2
simdjson (ondemand),2,5,16
