# Json-Performance: Scalar Structural Parsing vs simdjson with simd Stage Results
#CPU: Intel(R) Core(TM) i9-14900KF-AVX2
#OS: Linux-6.18.40.1-microsoft-standard-WSL2
#Compiler: Clang-24.0.0

# Json-Performance: Scalar Structural Parsing vs simdjson with simd Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold (%),MaxTimeInS,RseThreshold (%),MaxK,MinK
true,100,100000,2.5,20,5,100000,30

Library,Wins,Ties,Losses
jsonifier,22,2,1
simdjson (ondemand),1,2,22
